,City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temperature,Wind Speed
0,Ilulissat,23,GL,1578456824,53,69.22,-51.1,-2.2,12.75
1,Yerbogachen,99,RU,1578456824,94,61.28,108.01,7.54,8.57
2,Albany,90,US,1578456824,84,42.65,-73.75,33.01,2.71
3,Kaitangata,100,NZ,1578456824,71,-46.28,169.85,59.0,5.99
4,Petropavlovsk-Kamchatskiy,100,RU,1578456824,49,53.05,158.65,23.0,2.24
5,Punta Arenas,100,CL,1578456787,76,-53.16,-70.91,48.2,16.11
6,Mataura,97,NZ,1578456824,70,-46.19,168.86,59.0,10.0
7,Marsa Matruh,18,EG,1578456824,68,31.35,27.25,58.01,30.09
8,Ushuaia,90,AR,1578456824,93,-54.81,-68.31,46.4,8.05
9,Tautira,40,PF,1578456824,74,-17.73,-149.15,84.2,5.82
10,Pisco,75,PE,1578456824,88,-13.71,-76.2,71.6,11.41
11,Pevek,0,RU,1578456824,81,69.7,170.27,-11.81,13.78
12,Esperance,0,AU,1578456824,54,-33.86,121.89,78.8,12.75
13,Bambous Virieux,40,MU,1578456621,94,-20.34,57.76,78.8,4.74
14,Busselton,0,AU,1578456826,39,-33.64,115.35,82.99,4.0
15,Castro,40,CL,1578456826,76,-42.48,-73.76,51.8,10.29
16,Faanui,4,PF,1578456826,78,-16.48,-151.75,81.77,18.43
17,Ponta do Sol,100,BR,1578456826,93,-20.63,-46.0,70.05,2.19
18,Berlevag,100,NO,1578456827,74,70.86,29.09,35.6,26.4
19,Yellowknife,5,CA,1578456751,73,62.45,-114.38,-32.01,4.7
20,Cape Town,75,ZA,1578456827,100,-33.93,18.42,66.2,2.24
21,Castlemaine,79,AU,1578456827,61,-37.07,144.22,91.99,7.0
22,Rikitea,0,PF,1578456827,80,-23.12,-134.97,77.13,17.67
23,Ternate,40,PH,1578456584,74,14.29,120.72,84.99,8.05
24,New Norfolk,20,AU,1578456827,49,-42.78,147.06,78.01,19.46
25,Saint George,20,GR,1578456827,85,39.45,22.34,34.0,2.46
26,Hermanus,0,ZA,1578456827,95,-34.42,19.24,66.0,3.38
27,Sao Filipe,100,CV,1578456827,72,14.9,-24.5,68.05,19.66
28,Upernavik,99,GL,1578456827,71,72.79,-56.15,-16.37,6.71
29,Jertih,40,MY,1578456827,74,5.74,102.5,86.0,11.41
30,Vestmanna,100,FO,1578456827,80,62.16,-7.17,33.8,38.03
31,Athabasca,100,CA,1578456827,96,54.72,-113.29,1.94,8.66
32,Vaini,40,IN,1578456828,94,15.34,74.49,69.8,2.95
33,Anakapalle,20,IN,1578456828,69,17.69,83.0,75.2,2.24
34,Colares,0,PT,1578456828,100,38.8,-9.45,48.2,2.24
35,Nikolskoye,90,RU,1578456828,86,59.7,30.79,37.4,6.71
36,Broome,100,GB,1578456828,87,52.47,1.45,55.4,14.99
37,Lompoc,1,US,1578456828,81,34.64,-120.46,53.01,5.82
38,Norman Wells,5,CA,1578456828,64,65.28,-126.83,-45.4,3.36
39,Husavik,24,CA,1578456828,82,50.56,-96.99,-6.0,5.01
40,Kavaratti,40,IN,1578456828,74,10.57,72.64,84.2,6.93
41,Port Lincoln,0,AU,1578456828,39,-34.72,135.86,79.63,9.66
42,Puerto Ayora,32,EC,1578456607,80,-0.74,-90.35,75.99,3.0
43,Barrow,0,AR,1578456828,37,-38.31,-60.23,67.41,8.34
44,Antalaha,10,MG,1578456828,80,-14.9,50.28,79.86,10.63
45,Saint-Augustin,90,CA,1578456828,73,45.63,-73.98,28.0,4.7
46,Hobart,20,AU,1578456603,49,-42.88,147.33,77.0,19.46
47,Keti Bandar,0,PK,1578456829,74,24.14,67.45,58.35,7.23
48,Pingliang,78,CN,1578456829,63,35.54,106.68,25.2,4.9
49,Khatanga,100,RU,1578456829,95,71.98,102.47,4.35,10.02
50,Skjervoy,100,NO,1578456829,70,70.03,20.97,38.75,20.15
51,Kaeo,70,NZ,1578456829,60,-35.1,173.78,73.99,1.01
52,Arraial do Cabo,40,BR,1578456829,94,-22.97,-42.02,77.0,3.36
53,Sitka,0,US,1578456829,50,37.17,-99.65,36.0,1.01
54,Butaritari,100,KI,1578456830,80,3.07,172.79,83.97,17.85
55,Mayumba,100,GA,1578456830,79,-3.44,10.65,81.01,7.02
56,Kapaa,75,US,1578456818,64,22.08,-159.32,78.8,20.8
57,Terrace,75,CA,1578456830,79,54.52,-128.61,23.0,19.46
58,Georgetown,40,GY,1578456831,94,6.8,-58.16,75.2,4.7
59,Mar del Plata,0,AR,1578456831,35,-46.43,-67.52,57.43,34.99
60,Hilo,75,US,1578456831,69,19.71,-155.08,75.99,9.17
61,Paamiut,100,GL,1578456831,61,61.99,-49.67,16.77,14.16
62,Margate,20,AU,1578456831,49,-43.03,147.26,78.01,19.46
63,Rundu,95,NA,1578456831,100,-17.91,19.77,69.8,5.82
64,Bathsheba,75,BB,1578456831,74,13.22,-59.52,78.8,17.22
65,Dikson,95,RU,1578456831,97,73.51,80.55,-2.49,8.48
66,Drayton Valley,100,CA,1578456831,92,53.22,-114.98,17.87,10.96
67,Luderitz,100,NA,1578456831,100,-26.65,15.16,60.8,8.05
68,Airai,67,TL,1578456831,49,-8.93,125.41,83.8,4.14
69,Bluff,2,AU,1578456832,25,-23.58,149.07,91.89,12.68
70,Komsomolskiy,98,RU,1578456832,97,67.55,63.78,1.18,7.29
71,Riberalta,100,BO,1578456832,80,-11.0,-66.08,78.91,3.24
72,Miraflores,40,PE,1578456832,87,-16.39,-71.52,51.8,3.36
73,Saint Anthony,1,US,1578456832,92,43.97,-111.68,26.6,3.36
74,Saint-Louis,73,SN,1578456832,31,16.03,-16.5,60.8,6.93
75,Fortuna,90,US,1578456605,93,40.6,-124.16,48.2,5.82
76,Soure,1,PT,1578456832,100,40.06,-8.63,37.0,3.36
77,Khandyga,98,RU,1578456832,98,62.65,135.58,-3.73,1.74
78,Maku,100,IR,1578456832,63,39.29,44.45,21.79,2.55
79,Bethel,20,US,1578456661,75,60.79,-161.76,-18.4,13.87
80,Ailigandi,11,PA,1578456832,92,9.23,-78.02,74.26,7.02
81,Kirakira,100,SB,1578456832,71,-10.46,161.92,84.78,8.72
82,Alice Springs,77,AU,1578456832,17,-23.7,133.88,100.4,10.29
83,Taunggyi,0,MM,1578456833,49,20.78,97.03,68.02,2.26
84,Qaanaaq,0,GL,1578456833,82,77.48,-69.36,-24.32,2.08
85,Jijiga,54,ET,1578456833,66,9.35,42.8,56.08,7.25
86,Estelle,3,FR,1578456833,93,43.97,3.47,42.8,6.93
87,Oban,33,GB,1578456833,86,56.42,-5.47,42.01,4.0
88,Hithadhoo,94,MV,1578456833,76,-0.6,73.08,82.78,12.41
89,Naze,100,NG,1578456833,94,5.43,7.07,71.6,1.83
90,Rome,98,IT,1578456807,67,41.89,12.48,44.01,4.7
91,Hot Springs,1,US,1578456742,69,34.5,-93.06,45.0,3.67
92,Bonthe,0,SL,1578456833,79,7.53,-12.5,76.62,6.33
93,San Juan,0,AR,1578456834,32,-31.54,-68.53,83.14,19.95
94,Lavrentiya,0,RU,1578456574,95,65.58,-170.99,-12.17,3.58
95,Maputo,75,MZ,1578456834,88,-25.97,32.57,78.01,4.7
96,Planeta Rica,0,CO,1578456834,88,8.41,-75.58,78.8,7.14
97,Atuona,21,PF,1578456834,73,-9.8,-139.03,81.46,15.1
98,Fort Nelson,90,CA,1578456834,68,58.81,-122.69,-20.2,3.36
99,Belaya Kholunitsa,78,RU,1578456834,97,58.84,50.85,6.6,5.53
100,Torbay,75,CA,1578456569,73,47.66,-52.73,23.0,9.17
101,Cidreira,0,BR,1578456834,71,-30.17,-50.22,74.43,8.55
102,Avarua,100,CK,1578456595,78,-21.21,-159.78,82.4,9.17
103,Kokorevka,75,RU,1578456834,86,52.59,34.27,30.2,6.71
104,Beyneu,100,KZ,1578456834,73,45.32,55.19,28.33,10.8
105,Tura,0,RU,1578456835,93,64.27,100.22,-4.52,4.88
106,Altus,1,US,1578456668,41,34.64,-99.33,46.4,6.93
107,Noumea,20,NC,1578456706,48,-22.28,166.46,87.8,16.11
108,Mayo,90,CA,1578456835,63,63.59,-135.9,-11.2,8.05
109,Beringovskiy,100,RU,1578456726,98,63.05,179.32,-1.82,7.61
110,Oranjemund,96,ZA,1578456835,74,-28.55,16.43,65.1,3.65
111,Sotik,67,KE,1578456835,88,-0.69,35.11,55.49,4.38
112,Simao,2,CN,1578456835,82,22.76,100.79,62.73,3.51
113,Nata,98,BW,1578456835,79,-20.21,26.19,71.2,7.34
114,Yulara,99,AU,1578456835,18,-25.24,130.99,98.6,17.22
115,Cartagena,0,ES,1578456836,100,37.63,-1.0,43.0,4.7
116,Mahebourg,75,MU,1578456836,88,-20.41,57.7,80.6,3.8
117,Songjianghe,100,CN,1578456836,86,42.18,127.48,18.5,3.38
118,Soyo,99,AO,1578456836,83,-6.13,12.37,78.91,0.04
119,Port Elizabeth,75,US,1578456836,86,39.31,-74.98,36.0,8.05
120,Thompson,20,CA,1578456809,75,55.74,-97.86,-14.8,5.82
121,Miri,100,NG,1578456836,28,10.31,9.75,63.03,4.47
122,Guerrero Negro,100,MX,1578456836,37,27.97,-114.04,63.81,7.23
123,Ponta Delgada,20,PT,1578456836,93,37.73,-25.67,64.4,10.29
124,Port Alfred,100,ZA,1578456836,98,-33.59,26.89,70.0,9.78
125,Luena,100,AO,1578456836,96,-11.78,19.91,62.22,5.46
126,Bogande,67,BF,1578456836,21,12.97,-0.14,69.91,7.34
127,Malanville,32,NE,1578456837,21,11.86,3.39,69.58,8.99
128,Hualmay,25,PE,1578456837,88,-11.1,-77.61,66.63,2.84
129,Kimbe,49,PG,1578456837,70,-5.56,150.15,86.9,4.07
130,Cherskiy,31,RU,1578456837,72,68.75,161.3,-19.5,8.81
131,Pagudpud,75,PH,1578456837,65,18.56,120.79,82.4,5.82
132,Amapa,75,HN,1578456837,94,15.09,-87.97,71.6,4.7
133,Bandipur,36,IN,1578456837,71,11.67,76.63,67.48,1.05
134,Port Blair,63,IN,1578456837,77,11.67,92.75,80.2,14.25
135,Lazaro Cardenas,5,MX,1578456837,36,28.39,-105.62,44.6,9.17
136,Vanimo,100,PG,1578456837,84,-2.67,141.3,80.91,22.17
137,Angoche,100,MZ,1578456837,95,-16.23,39.91,74.16,3.74
138,Jamestown,0,AU,1578456837,20,-33.21,138.6,88.11,6.53
139,Male,0,UA,1578456838,86,50.74,33.7,22.87,2.21
140,Ostrov,100,RU,1578456838,93,57.34,28.36,35.6,11.18
141,Kosh-Agach,0,RU,1578456838,72,49.99,88.66,-12.66,2.06
142,Shahr-e Kord,0,IR,1578456548,85,32.33,50.85,12.2,2.24
143,Tongren,100,CN,1578456838,93,27.72,109.18,41.25,5.93
144,Diego de Almagro,0,CL,1578456838,55,-26.39,-70.05,59.36,2.01
145,Nioki,100,CD,1578456838,94,-2.72,17.69,73.53,3.4
146,Ribeira Grande,60,PT,1578456591,92,38.52,-28.7,61.21,17.43
147,Sola,64,TZ,1578456635,86,-3.17,33.8,64.29,2.68
148,Bowen,7,AU,1578456839,58,-20.01,148.25,89.01,16.11
149,Saskylakh,87,RU,1578456839,96,71.97,114.09,-3.73,8.1
150,Aden,84,YE,1578456667,80,12.79,45.03,75.6,6.96
151,Shieli,100,KZ,1578456839,79,44.18,66.74,26.13,5.77
152,Rocha,0,UY,1578456839,54,-34.48,-54.34,59.16,8.19
153,Clyde River,90,CA,1578456839,62,70.47,-68.59,-13.0,4.52
154,Kjollefjord,100,NO,1578456839,74,70.95,27.35,35.6,26.4
155,Tiksi,100,RU,1578456839,90,71.64,128.87,-9.87,5.61
156,Tuy Hoa,100,VN,1578456583,81,13.08,109.3,77.2,14.9
157,Saint-Philippe,90,CA,1578456840,80,45.36,-73.48,30.99,4.5
158,Lokhvytsya,0,UA,1578456840,86,50.37,33.26,22.87,2.21
159,Juba,99,EE,1578456840,93,57.82,26.93,36.0,16.11
160,Coquimbo,0,CL,1578456840,82,-29.95,-71.34,62.6,5.82
161,Jalu,71,LY,1578456840,80,29.03,21.55,49.98,8.21
162,Carnarvon,69,ZA,1578456840,82,-30.97,22.13,64.38,9.19
163,Valparaiso,40,US,1578456687,61,41.47,-87.06,35.01,13.87
164,Siocon,100,PH,1578456840,57,11.03,124.04,90.0,6.08
165,Dingle,100,PH,1578456840,75,11.0,122.67,82.04,11.65
166,Sioux Lookout,75,CA,1578456841,70,50.1,-91.92,-4.0,12.75
167,Moron,0,HT,1578456841,76,18.56,-74.26,77.0,9.89
168,Dzilam Gonzalez,50,MX,1578456841,64,21.28,-88.93,73.62,18.75
169,Warwick,90,US,1578456841,100,41.7,-71.42,35.6,6.93
170,Kodiak,1,US,1578456841,59,39.95,-94.76,36.0,5.82
171,Tuktoyaktuk,75,CA,1578456841,73,69.44,-133.03,-31.0,14.99
172,Victoria,75,BN,1578456841,74,5.28,115.24,87.8,6.93
173,Mezen,100,RU,1578456841,96,65.85,44.24,29.82,16.33
174,Half Moon Bay,90,US,1578456841,87,37.46,-122.43,53.6,5.82
175,Kenai,1,US,1578456841,76,60.55,-151.26,-7.01,3.36
176,Ucluelet,100,CA,1578456841,90,48.94,-125.55,44.01,5.01
177,Green River,1,US,1578456841,68,41.53,-109.47,24.8,9.17
178,Draguignan,6,FR,1578456842,93,43.54,6.46,48.0,5.82
179,Leningradskiy,21,RU,1578456842,88,69.38,178.42,-17.64,9.73
180,Marquette,90,US,1578456842,72,46.54,-87.4,15.01,16.11
181,Vallenar,0,CL,1578456842,87,-28.58,-70.76,56.28,2.73
182,Tezu,97,IN,1578456842,56,27.93,96.16,60.44,0.31
183,Fairbanks,40,US,1578456842,98,64.84,-147.72,-24.0,0.81
184,Hambantota,40,LK,1578456842,94,6.12,81.12,80.6,9.17
185,Annonay,90,FR,1578456842,93,45.24,4.67,43.0,2.24
186,Sandwick,92,GB,1578456842,100,54.57,-2.89,50.0,14.99
187,French Harbor,40,HN,1578456842,78,16.35,-86.43,77.0,6.93
188,Bhan,0,PK,1578456842,39,26.56,67.72,55.08,4.32
189,Hasaki,75,JP,1578456842,100,35.73,140.83,44.6,11.41
190,Bud,100,NO,1578456842,81,62.91,6.91,46.99,34.45
191,Stokmarknes,75,NO,1578456842,93,68.56,14.91,42.8,24.16
192,Sai Buri,40,TH,1578456842,79,6.7,101.62,84.2,10.29
193,Bend,1,US,1578456731,91,44.06,-121.32,42.8,17.22
194,Namatanai,23,PG,1578456843,72,-3.66,152.44,85.73,9.71
195,Staryy Nadym,0,RU,1578456843,94,65.61,72.68,-4.2,8.16
196,Carutapera,52,BR,1578456843,78,-1.2,-46.02,81.19,12.41
197,Ambikapur,0,IN,1578456843,44,23.12,83.2,64.2,3.18
198,San Patricio,0,PY,1578456843,31,-26.98,-56.83,71.42,4.0
199,Whyalla,0,AU,1578456843,26,-33.04,137.58,91.4,9.17
200,Geraldton,75,CA,1578456843,70,49.72,-86.95,-2.2,8.05
201,Sur,0,OM,1578456843,56,22.57,59.53,66.99,8.9
202,Gedo,94,ET,1578456843,69,9.01,37.45,53.53,2.71
203,Mitsamiouli,20,KM,1578456843,74,-11.38,43.28,78.8,5.82
204,Taoudenni,0,ML,1578456843,25,22.68,-3.98,53.11,10.45
205,Tocopilla,0,CL,1578456843,46,-22.09,-70.2,54.03,2.64
206,Codrington,40,AU,1578456843,36,-28.95,153.24,93.2,9.17
207,Mao,40,DO,1578456596,94,19.55,-71.08,75.99,4.7
208,Bubaque,100,GW,1578456844,37,11.28,-15.83,75.42,19.1
209,Mount Isa,75,AU,1578456844,29,-20.73,139.49,98.6,5.82
210,Olinda,75,AU,1578456844,53,-37.84,145.39,81.0,18.34
211,Lulea,100,SE,1578456844,100,65.58,22.15,35.6,16.11
212,Ugoofaaru,75,MV,1578456844,77,5.67,73.0,82.47,16.24
213,Aragarcas,100,BR,1578456844,95,-15.9,-52.25,73.45,2.91
214,Acari,55,BR,1578456844,75,-6.44,-36.64,75.96,13.22
215,Ahipara,46,NZ,1578456844,60,-35.17,173.16,72.0,1.01
216,Zajecar,0,RS,1578456844,65,43.9,22.28,26.29,3.29
217,Mastic Beach,90,US,1578456755,86,40.77,-72.85,35.01,8.05
218,Cairns,90,AU,1578456844,88,-16.92,145.77,86.0,4.7
219,Kavieng,100,PG,1578456844,83,-2.57,150.8,82.09,13.24
220,Axim,100,GH,1578456844,84,4.87,-2.24,74.57,2.24
221,Vestmannaeyjar,100,IS,1578456845,69,63.44,-20.27,31.5,50.89
222,Katsuura,20,JP,1578456845,44,33.93,134.5,61.0,35.57
223,Hailar,32,CN,1578456845,97,49.2,119.7,-6.16,7.29
224,Souillac,90,FR,1578456845,93,45.6,-0.6,51.8,4.7
225,Banda Aceh,93,ID,1578456740,62,5.56,95.32,81.97,9.06
226,Sudak,100,UA,1578456845,92,44.85,34.97,31.62,13.4
227,Fukue,20,JP,1578456845,58,35.03,136.69,64.0,39.15
228,Bollnas,100,SE,1578456845,83,61.35,16.39,45.0,7.0
229,Faya,75,SA,1578456845,93,18.39,42.45,57.2,13.87
230,Karratha,100,AU,1578456845,66,-20.74,116.85,88.45,7.65
231,Narsaq,100,GL,1578456846,78,60.91,-46.05,12.2,1.12
232,Palmer,0,AU,1578456846,18,-34.85,139.16,93.99,7.54
233,Chokurdakh,23,RU,1578456846,95,70.62,147.9,-26.97,5.5
234,Rio Gallegos,40,AR,1578456846,87,-51.62,-69.22,48.2,5.82
235,Uige,100,AO,1578456846,98,-7.61,15.06,67.01,2.8
236,Goksun,75,TR,1578456846,87,38.02,36.5,42.8,8.05
237,Buenos Aires,0,AR,1578456753,47,-34.61,-58.44,77.0,10.29
238,Marawi,99,PH,1578456846,73,8.0,124.29,82.0,5.99
239,Beatrice,1,US,1578456846,79,40.27,-96.75,34.0,3.36
240,Muros,75,ES,1578456846,100,42.77,-9.06,55.99,3.36
241,Kitimat,75,CA,1578456847,79,54.02,-128.69,23.0,19.46
242,Kruisfontein,84,ZA,1578456847,91,-34.0,24.73,65.08,7.43
243,Salalah,20,OM,1578456582,50,17.01,54.1,75.2,10.29
244,Okha,100,RU,1578456847,90,53.59,142.95,12.31,15.7
245,Santa Lucia,98,IT,1578456847,67,41.98,12.66,46.99,4.7
246,Cabo San Lucas,5,MX,1578456606,77,22.89,-109.91,66.99,3.36
247,Kilindoni,79,TZ,1578456848,77,-7.91,39.67,83.03,7.87
248,Tessalit,3,ML,1578456848,16,20.2,1.01,58.05,16.62
249,Tianpeng,100,CN,1578456848,67,28.88,112.34,45.46,10.2
250,Belaya Gora,74,RU,1578456848,84,68.54,146.19,-22.79,2.59
251,Westport,90,US,1578456548,90,41.14,-73.36,37.0,5.82
252,Acapulco,20,MX,1578456848,88,16.86,-99.88,78.8,4.7
253,Labytnangi,0,RU,1578456848,84,66.66,66.39,-0.42,7.02
254,San Andres,100,PH,1578456848,67,13.32,122.68,83.77,11.12
255,Novyy Urengoy,24,RU,1578456848,95,66.08,76.63,-4.29,9.86
256,Manta,0,RO,1578456848,61,45.1,24.1,25.93,0.11
257,Along,92,IN,1578456848,59,28.17,94.8,55.17,3.29
258,Simbahan,38,PH,1578456848,78,6.3,120.58,81.88,11.81
259,Ancud,40,CL,1578456848,76,-41.87,-73.83,51.8,10.29
260,Scottsbluff,1,US,1578456848,62,41.87,-103.67,39.99,4.7
261,Punta Gorda,1,US,1578456675,93,26.93,-82.05,63.0,4.23
262,Omboue,88,GA,1578456848,93,-1.57,9.26,75.7,0.63
263,Pangnirtung,10,CA,1578456849,73,66.15,-65.72,-43.08,1.41
264,Kuraymah,90,SY,1578456849,75,36.78,40.45,46.4,9.17
265,Vostok,83,RU,1578456849,77,46.45,135.83,19.33,4.38
266,Vardo,1,US,1578456631,85,39.62,-77.74,30.0,3.36
267,Poum,0,MK,1578456849,35,41.28,20.71,25.77,4.54
268,Qaqortoq,100,GL,1578456849,78,60.72,-46.03,12.2,1.12
269,Lebu,74,ET,1578456849,93,8.96,38.73,49.69,1.43
270,Tornio,90,FI,1578456849,93,61.12,27.27,39.2,19.46
271,Ryotsu,75,JP,1578456849,93,38.08,138.43,53.6,2.24
272,Vao,100,EE,1578456849,84,59.1,26.19,37.58,14.5
273,Hay River,90,CA,1578456849,75,60.82,-115.79,-14.8,2.24
274,Quthing,100,LS,1578456849,77,-30.4,27.7,62.4,2.55
275,Lakatoro,100,VU,1578456849,94,-16.11,167.42,86.0,10.29
276,Kidal,33,ML,1578456850,16,18.44,1.41,58.89,15.37
277,Mitchell,90,US,1578456850,66,43.71,-98.03,15.8,8.05
278,Pochutla,0,MX,1578456850,72,15.74,-96.47,80.42,6.93
279,Ketchikan,1,US,1578456742,86,55.34,-131.65,33.8,5.82
280,Vila Franca do Campo,20,PT,1578456850,93,37.72,-25.43,64.4,10.29
281,Tasiilaq,80,GL,1578456850,43,65.61,-37.64,3.43,21.7
282,Saint-Pierre,90,FR,1578456850,100,48.95,4.24,48.99,13.87
283,Severo-Kurilsk,73,RU,1578456850,83,50.68,156.12,21.85,16.64
284,Butte,75,US,1578456850,55,46.01,-112.54,41.0,11.41
